Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,54302.44,651629.28,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
[Esfera] Assessment Migration OCI to AWS-V2 > RDS,US East (N. Virginia),STG-MDS,Amazon RDS for MySQL,0,1302.75,15633.00,USD,"Storage amount (3 TB), Storage for each RDS instance (General Purpose SSD (gp3)), Nodes (1), Instance type (db.x2g.4xlarge), Utilization (On-Demand only) (33 %Utilized/Month), Deployment option (Single-AZ), Pricing strategy (OnDemand), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
[Esfera] Assessment Migration OCI to AWS-V2 > RDS,US East (N. Virginia),PRD-MDS-MS - PRD-MDS-MS-SLAVE2 - Reader,Amazon RDS for MySQL,0,2272.75,27273.00,USD,"Storage amount (100 GB), Storage for each RDS instance (General Purpose SSD (gp3)), Nodes (1), Instance type (db.r6i.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Single-AZ), Pricing strategy (Reserved 1yr No Upfront)"
[Esfera] Assessment Migration OCI to AWS-V2 > RDS,US East (N. Virginia),PRD-MDS-ATLAS,Amazon RDS for MySQL,0,2882.13,34585.56,USD,"Storage amount (4 TB), Storage for each RDS instance (General Purpose SSD (gp2)), Nodes (1), Instance type (db.r6i.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront)"
[Esfera] Assessment Migration OCI to AWS-V2 > RDS,US East (N. Virginia),PRD-MDS-BATCH,Amazon RDS for MySQL,0,1154.11,13849.32,USD,"Storage amount (5 TB), Storage for each RDS instance (General Purpose SSD (gp3)), Nodes (1), Instance type (db.r6i.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Single-AZ), Pricing strategy (Reserved 1yr No Upfront), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
[Esfera] Assessment Migration OCI to AWS-V2 > RDS,US East (N. Virginia),PRD-MDS - PRD-MDS-MS-SLAVE2 - Writer,Amazon RDS for MySQL,0,8646.38,103756.56,USD,"Storage amount (12 TB), Storage for each RDS instance (General Purpose SSD (gp3)), Nodes (1), Instance type (db.r6i.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
[Esfera] Assessment Migration OCI to AWS-V2 > RDS,US East (N. Virginia),TST-MDS-ATLAS,Amazon RDS for MySQL,0,424.83,5097.96,USD,"Storage amount (1 TB), Storage for each RDS instance (General Purpose SSD (gp3)), Nodes (1), Instance type (db.m6g.2xlarge), Utilization (On-Demand only) (33 %Utilized/Month), Deployment option (Single-AZ), Pricing strategy (OnDemand), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
[Esfera] Assessment Migration OCI to AWS-V2 > RDS,US East (N. Virginia),STG-MDS,Amazon RDS for MySQL,0,1823.65,21883.80,USD,"Storage amount (3 TB), Storage for each RDS instance (General Purpose SSD (gp3)), Nodes (1), Instance type (db.r6g.8xlarge), Utilization (On-Demand only) (33 %Utilized/Month), Deployment option (Single-AZ), Pricing strategy (OnDemand), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
[Esfera] Assessment Migration OCI to AWS-V2 > RDS,US East (N. Virginia),TST-MDS,Amazon RDS for MySQL,0,852.83,10233.96,USD,"Storage amount (1 TB), Storage for each RDS instance (General Purpose SSD (gp3)), Nodes (1), Instance type (db.r6g.4xlarge), Utilization (On-Demand only) (33 %Utilized/Month), Deployment option (Single-AZ), Pricing strategy (OnDemand), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
[Esfera] Assessment Migration OCI to AWS-V2 > RDS,US East (N. Virginia),SHD-MDS-501,Amazon RDS for MySQL,0,294.16,3529.92,USD,"Storage amount (100 GB), Storage for each RDS instance (General Purpose SSD (gp3)), Nodes (1), Instance type (db.r6i.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Single-AZ), Pricing strategy (Reserved 1yr No Upfront)"
[Esfera] Assessment Migration OCI to AWS-V2 > RDS,US East (N. Virginia),SHD-MDS-502,Amazon RDS for MySQL,0,1188.12,14257.44,USD,"Storage amount (500 GB), Storage for each RDS instance (General Purpose SSD (gp3)), Nodes (1), Instance type (db.r6i.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Single-AZ), Pricing strategy (Reserved 1yr No Upfront), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
[Esfera] Assessment Migration OCI to AWS-V2 > RDS,US East (N. Virginia),SHD-PSQL,Amazon RDS for PostgreSQL,0,524.95,6299.40,USD,"Storage amount (100 GB), Storage volume (General Purpose SSD (gp3)), Nodes (1), Instance Type (db.r6i.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront)"
